goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_title,goods_num,gender,goods_page,goods_comments,goods_url
TX TRAIL HB 户外头带,DT5094,¥99,0,灰白/黑,"['OSFW', 'OSFM']","[' 奔跑，徒步，滑雪，让这款头带为户外运动添舒适。设计别致，旨在适应不同环境状况。 ', '尺寸：宽度：9.5厘米；平铺长度：23.5厘米', 'Climalite面料', '虾须线接缝', '面料舒适', '丝印Terrex图案', '反光细节']","['https://img.adidas.com.cn/resources/2019/3/7/15519566020273500_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519566040106053_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519565992141459_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519565962658829_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/1551956607459437_2000X2000.jpg']",中性  运动表现  户外,11,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/03/29', 'goods_comment_comment': '给力嗷给力嗷给力嗷给给力给力嗷'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/23', 'goods_comment_comment': '不错的头带，建议每次都清洗！！！！！'}]",https://www.adidas.com.cn/item/DT5094?locale=zh_CN
W WL TRUCKER 运动帽,DT4052,¥169,0,白/黑/黑 ,['OSFW'],"[' 共沐冒险精神，找寻身心的平衡。这款可调节帽子，联合Wanderlust瑜伽节共同打造，正面采用斜纹棉布面料，侧边和后部含网材幅面。另饰反光细节和瑜伽节徽标，更添灵气。 ', '女士均码', '正面：聚丙烯；侧片和后片：聚酯纤维', '预成型弧形帽檐', '塑料帽扣', 'Wanderlust徽标', '反光细节']","['https://img.adidas.com.cn/resources/2019/3/7/15519506488295979_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519506469186353_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519506408976551_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519506509304128_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519506361641059_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519506440593371_2000X2000.jpg']",女子  运动表现  训练,12,men,0,[],https://www.adidas.com.cn/item/DT4052?locale=zh_CN
W WL TRUCKER 运动帽,DT4051,¥169,0,黑/黑/黑 ,['OSFW'],"[' 共沐冒险精神，找寻身心的平衡。这款可调节帽子，联合Wanderlust瑜伽节共同打造，正面采用斜纹棉布面料，侧边和后部含网材幅面。另饰反光细节和瑜伽节徽标，更添灵气。 ', '女士均码', '正面：聚丙烯；侧片和后片：聚酯纤维', '预成型弧形帽檐', '塑料帽扣', 'Wanderlust徽标', '反光细节']","['https://img.adidas.com.cn/resources/2019/3/7/15519506579221753_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519506533562452_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/1551950644001252_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519506507023057_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519506461462184_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519506552209736_2000X2000.jpg']",女子  运动表现  训练,13,men,0,[],https://www.adidas.com.cn/item/DT4051?locale=zh_CN
TIRO C40 CAP 足球帽子,DQ1073,¥99,0,黑/白,['OSFM'],"[' 崇尚运动。这款帽子，正面缀经典三条纹，力求展现你对足球的热爱。内含衬里，佩戴舒适，搭配预成型弧形帽檐。 ', '均码，力求适合多数人使用', '棉', '预成型弧形帽檐', '可调节搭扣', 'Climalite汗带', '旨在适合艳阳天佩戴']","['https://img.adidas.com.cn/resources/2019/3/25/1553503538539490_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/1553503544136223_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535035411635_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535035457591977_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535035365123115_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535035477597529_2000X2000.jpg']",中性  运动表现  足球,14,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/04/02', 'goods_comment_comment': '不错..............'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/31', 'goods_comment_comment': '棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/29', 'goods_comment_comment': '大爱，是我想要的，尺码刚刚好，是我喜欢的'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/28', 'goods_comment_comment': '帽子本来买给自己的，老婆也看上了，拿走了。管它了，只要不是绿的就行，'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/25', 'goods_comment_comment': '特别的好 用优惠劵买的东西实话实说表示感动'}]",https://www.adidas.com.cn/item/DQ1073?locale=zh_CN
AZ LIGHT CAP 运动帽,DM8815,¥169,0,黑/银金属,"['OSFW', 'OSFM']","[' 这款帽子，采用舒适面料，旨在伴你自在长跑。配激光切割打孔，力求为运动添舒适，后部含可调节束带，旨在方便调整。 ', '均码，力求适合多数人使用', '聚酯纤维', '预成型弧形帽檐', '可调节后带', '激光切割设计', '面料舒适', '反光细节']","['https://img.adidas.com.cn/resources/2019/3/7/1551950671085116_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519506731813204_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519506629415972_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519506680274797_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519506650666099_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519506605145077_2000X2000.jpg']",中性  运动表现  跑步,15,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/03/26', 'goods_comment_comment': '和合适夏天使用！👌！👌！👌'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/26', 'goods_comment_comment': '顺丰物流非常快，帽子适合夏天戴'}, {'goods_comment_star': 4, 'goods_comment_time': '2019/03/25', 'goods_comment_comment': '夏天跑步凉帽，不是硬的那种帽檐，很软的'}]",https://www.adidas.com.cn/item/DM8815?locale=zh_CN
BOX CAP 帽子,DW6711,¥369,0,深藏青蓝,"['OSFM', 'OSFL']","[' adidas Spezial系列，扎根adidas复古休闲风格，专注现代时尚设计。这款帽子，采用经典平檐设计，旨在给你的夏日带来时尚色彩。采用平纹面料打造，正面饰Spezial式样的方框徽标印花。 ', '平檐', '可调式扣带', 'adidas x SPZL徽标']","['https://img.adidas.com.cn/resources/2019/2/21/15507397286782797_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/2/21/15507397179683990_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/2/21/15507397265876897_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/2/21/15507397201033086_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/2/21/15507397227758194_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/2/21/15507397154084825_2000X2000.jpg']",中性  ORIGINALS,16,men,0,[],https://www.adidas.com.cn/item/DW6711?locale=zh_CN
CAP 帽子,EJ7422,¥399,0,深蓝,"['OSFW', 'OSFM']","[' 这款帽子，由adidas联手时尚界新星Ji Won Choi崔智苑共同设计，采用简约斜纹棉布打造。含长后带，造型摩登典雅。帽檐带预成型弧度，靓丽讨喜。 ', '棉', '预成型弧形帽檐', '长后带']","['https://img.adidas.com.cn/resources/2019/1/29/15487444573126533_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487444511683306_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487444592867377_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487444485235572_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/1548744462366599_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487444547498920_2000X2000.jpg']",中性  ORIGINALS,17,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/03/18', 'goods_comment_comment': '很满意，质量也很好，看见不多了果断下手'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/06', 'goods_comment_comment': '强烈建议写上产地和该款尺寸明细！'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/02/28', 'goods_comment_comment': '很棒哦！还好还好哈还好还好哈哈哈哈(ಡ&omega;ಡ)hiahiahia'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/02/27', 'goods_comment_comment': '帽子尺寸很合适 也可以自己调节大小 带着非常有时尚感 就后面两根绳子不太会系'}]",https://www.adidas.com.cn/item/EJ7422?locale=zh_CN
REVERSIBLE CAP 帽子,DU6972,¥349,0,常春藤绿/黑,"['OSFW', 'OSFM']","[' 换心情，换造型。这款帽子，帽檐别致，旨在方便翻面。两面均可穿戴，并饰有醒目NMD标志。 ', '别致帽檐', '魔术贴粘扣设计']","['https://img.adidas.com.cn/resources/2019/1/29/15487478713573056_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487478623612783_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487478605317159_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487478656421463_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487478684972587_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487478581344875_2000X2000.jpg']",中性  ORIGINALS,18,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/03/21', 'goods_comment_comment': '实物好像有点偏绿啊，虽然不是很绿的那种，绿帽子好像有点尴尬，能戴吗？'}]",https://www.adidas.com.cn/item/DU6972?locale=zh_CN
RECYCLED CAP 帽子,DV0257,¥399,0,黑,['OSFM'],"[' 造型时尚，同时力求环保。这款时尚的五片式帽子，采用再生网材和杂色斜纹布面料，正面饰简约三叶草徽标。 ', '帽舌和前幅片：再生杂色斜纹布；侧幅：再生聚酯纤维', '乙烯/乙酸乙烯酯（EVA）帽檐', '五片式结构', '可调节搭扣']","['https://img.adidas.com.cn/resources/2019/1/11/15472034090018518_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472034228958665_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472034143646302_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472034165934199_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472034118601123_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472034189501682_2000X2000.jpg']",中性  ORIGINALS,19,men,0,[],https://www.adidas.com.cn/item/DV0257?locale=zh_CN
SB CLASSIC TRE 帽子,DV0176,¥249,0,黑/白,"['OSFW', 'OSFM']","[' 力求展现你的adidas元气。这款平檐帽子，承袭adidas Originals经典风格，正面缀大号刺绣三叶草徽标。采用拉伸棉质面料，搭配可调节按扣，佩戴舒适。 ', '棉', '平檐', '可调节按扣带', '浮面刺绣三叶草徽标']","['https://img.adidas.com.cn/resources/2019/3/25/15535036099047852_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535036141643508_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535036080649453_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535036115567587_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535036170621479_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535036047646451_2000X2000.jpg']",中性  ORIGINALS,20,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/03/27', 'goods_comment_comment': '帽子很棒，质量看起来也很好。值得推荐'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/22', 'goods_comment_comment': '帽子不错买了一定就是有点热，合适冬天带，'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/22', 'goods_comment_comment': '帽子不错买了一定就是有点热，合适冬天带，'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/02/20', 'goods_comment_comment': '是的，很好看，下次试试那款新帽子'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/01/22', 'goods_comment_comment': '不错不错，要是有金标的就更好看了！'}]",https://www.adidas.com.cn/item/DV0176
SAMSTAG ARC CAP 帽子,DU6799,¥349,0,红/青蓝,['OSFM'],"[' 这款棉质帽子，来自Samstag系列，带来复古意大利运动服饰的休闲造型。采用经典斜纹布打造，缀金色金属三叶草别章，后按扣上方饰弧形刺绣adidas字样。 ', '棉', '平檐', '可调节按扣带', '正面缀金色金属三叶草别章；背面饰刺绣adidas标']","['https://img.adidas.com.cn/resources/2019/3/25/15535036780618590_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535036833083443_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535036850017261_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535036757261792_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535036809659012_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535036735217666_2000X2000.jpg']",中性  ORIGINALS,21,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/03/14', 'goods_comment_comment': '有点好看啊！带上很阳光，很马里奥'}, {'goods_comment_star': 3, 'goods_comment_time': '2019/03/04', 'goods_comment_comment': '偏硬，帽子有点大，是男生的size，但红色很正，金色徽章要自己扣'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/02/07', 'goods_comment_comment': '不错      。。。。。。。。。。。。。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/01/25', 'goods_comment_comment': '非常不错。物流也快。很好。会继续支持的'}]",https://www.adidas.com.cn/item/DU6799
RUN CAP 帽子,DT5439,¥429,0,黑,['OSFW'],"[' 2005年就开始与adidas联手的Stella McCartney，继续为这一新款系列带来她的独到眼光。这款帽子，旨在适合户外训练和跑步，侧片激光打孔，佩戴舒适。饰有Stella的应季花卉图案，呈现女性风采，缀反光徽标，展现一抹亮色。 ', '预成型弧形帽檐', '可调式扣带', '激光打孔', 'adidas by Stella McCartney徽标', '反光细节']","['https://img.adidas.com.cn/resources/2019/3/25/15535063479671217_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535063572436512_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535063521735567_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535063600583468_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535063495911280_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535063547801113_2000X2000.jpg']",女子  adidas by Stella McCartney,22,men,0,[],https://www.adidas.com.cn/item/DT5439
AC CAP TRE FLAT 帽子,DV0236,¥299,0,黑/白,"['OSFW', 'OSFM']","[' 轻松易搭，适合出街。这款平檐帽，采用水洗棉斜纹布打造，旨在呈现休闲仿旧气质。缀三叶草绣章，更添型格。配简约按扣后带，方便调节。 ', '棉', '平檐', '可调节按扣带']","['https://img.adidas.com.cn/resources/2019/3/25/15535038033274783_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535038016397192_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535038114474767_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535038085749760_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535038057896012_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535038133387322_2000X2000.jpg']",中性  ORIGINALS,23,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/03/23', 'goods_comment_comment': '挺好的帽子，穿着还是很合适很舒服的'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/12', 'goods_comment_comment': '好好好好好好好好好好好好好好好'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/09', 'goods_comment_comment': '非常好好好好好好好好好好好好好'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/02/16', 'goods_comment_comment': '帽子很好看，戴着舒服！完美！！！！'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/02/02', 'goods_comment_comment': '帅到掉渣的一顶帽子舒服的很呢就喜欢ad'}]",https://www.adidas.com.cn/item/DV0236
6PCAP LTWGT EMB 运动帽,S98159,¥99,0,黑/黑/白,"['OSFW', 'OSFM']","[' 这款帽子采用六片式结构。内置Climalite汗带，搭配弧形帽檐设计，力求让你无惧阳光。背面调节带。 ', 'Climalite汗带', '大号预成型弧形帽檐', '背面按扣固定', '六片式结构', '正面饰adidas绣标']","['https://img.adidas.com.cn/resources/2018/4/10/15233347804629131_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/4/10/15233347860077731_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/4/10/15233347903282769_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/4/10/1523334787869807_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/4/10/15233347773268152_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/4/10/15233347834506547_2000X2000.jpg']",中性  运动表现  训练,24,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/04/03', 'goods_comment_comment': '快递很快，东西不错，下次会还继续购买。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/04/02', 'goods_comment_comment': '不错................'}, {'goods_comment_star': 4, 'goods_comment_time': '2019/04/01', 'goods_comment_comment': '不解?怎么成中山市生产的了，又没有授权证明什么的。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/04/01', 'goods_comment_comment': '帽子很不错，之前想买另一款 深蓝的的，可惜要买的时候下架了，就买了这款，还不错'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/27', 'goods_comment_comment': '用优惠券给老爸买的，他很喜欢。'}]",https://www.adidas.com.cn/item/S98159
6PCAP LTWGT EMB 运动帽,BK0794,¥99,0,白/白/黑,"['OSFW', 'OSFM']","[' 这款帽子采用六片式结构。内置Climalite汗带，搭配弧形帽檐设计，力求让你无惧阳光。背面调节带。 ', 'Climalite汗带', '大号预成型弧形帽檐', '背面按扣固定', '六片式结构', '正面饰adidas绣标']","['https://img.adidas.com.cn/resources/2018/4/10/15233269498394416_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/4/10/15233269467609493_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/4/10/15233269373194331_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/4/10/15233269439217113_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/4/10/15233269517454169_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/4/10/1523326940209855_2000X2000.jpg']",中性  运动表现  训练,25,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/04/03', 'goods_comment_comment': '快递很快，东西不错，下次会还继续购买。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/04/02', 'goods_comment_comment': '不错................'}, {'goods_comment_star': 4, 'goods_comment_time': '2019/04/01', 'goods_comment_comment': '不解?怎么成中山市生产的了，又没有授权证明什么的。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/04/01', 'goods_comment_comment': '帽子很不错，之前想买另一款 深蓝的的，可惜要买的时候下架了，就买了这款，还不错'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/27', 'goods_comment_comment': '用优惠券给老爸买的，他很喜欢。'}]",https://www.adidas.com.cn/item/BK0794
R96 CC CAP 运动帽,CF9627,¥199,0,白/白/白,"['OSFW', 'OSFM']","[' 这款帽子，伴你在骄阳下奔跑。采用Climacool清风面料。帽后配可调节搭扣。饰有反光细节。 ', 'Climacool清风面料，力求适合暖季', '中弧度预成型弧形帽檐', '可调节搭扣式背带', '反光细节']","['https://img.adidas.com.cn/resources/2018/4/2/15226658760142255_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/4/2/15226658697177869_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/4/2/1522665874175702_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/4/2/15226658715232294_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/4/2/15226658788756989_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/4/2/15226658664297866_2000X2000.jpg']",中性  运动表现  跑步,26,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/07/31', 'goods_comment_comment': '很好哦，好看。。。。。。。。。。。。。'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/07/15', 'goods_comment_comment': '帽子质量好,大小适中,很满意,值得购买'}, {'goods_comment_star': 4, 'goods_comment_time': '2018/07/04', 'goods_comment_comment': '很好很帅，丈人很喜欢！价格也实惠！'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/06/30', 'goods_comment_comment': '很好不错的帽子，很值得带出去玩'}, {'goods_comment_star': 4, 'goods_comment_time': '2018/05/09', 'goods_comment_comment': '戴上显着头有点塌，因为没有支撑，透气性应该不错。'}]",https://www.adidas.com.cn/item/CF9627
AF TRUCKER TREF 帽子,DV0150,¥199,0,白/白,['OSFM'],"[' 这款卡车司机帽，经典“对对碰”。中间缀大号三叶草绣标，帽檐略带弧形。采用棉面料搭配网材幅片，含按扣后带。 ', '棉', '预成型弧形帽檐', '可调节按扣搭扣', '网材后片']","['https://img.adidas.com.cn/resources/2019/3/25/15535021026948115_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535021110087678_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535021047873570_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535021080485153_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535020973847885_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535020999856427_2000X2000.jpg']",中性  ORIGINALS,1,women,1,"[{'goods_comment_star': 4, 'goods_comment_time': '2019/03/30', 'goods_comment_comment': '非常棒非常棒非常棒非常棒非常棒'}, {'goods_comment_star': 4, 'goods_comment_time': '2019/03/24', 'goods_comment_comment': '很爱的帽子 新款  实体店里看到  立马官网下单了'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/23', 'goods_comment_comment': '发货神速，做工不错，比较满意。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/22', 'goods_comment_comment': '帽子刚刚好，舒服通风啊，好东西值得拥有'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/16', 'goods_comment_comment': '一直想买后面网状透气的帽子，还有最喜欢帽子是这种调节方式的款。'}]",https://www.adidas.com.cn/item/DV0150?locale=zh_CN
BUCKET HAT AC 渔夫帽,EC5776,¥249,0,紫 亮光黄/白,"['OSFW', 'OSFM']","[' 熟悉的造型，新意的呈现。这款渔夫帽，设计简约，采用斜纹水洗棉布打造，力求呈现经历风霜的做旧质感。正面缀大号三叶草徽标，背面配小号三条纹织带。 ', '棉', '撞色三叶草徽标']","['https://img.adidas.com.cn/resources/2019/3/7/15519552305861120_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519552442738826_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519552422593459_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519552350538552_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519552384818972_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519552325214369_2000X2000.jpg']",中性  ORIGINALS,2,women,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/04/03', 'goods_comment_comment': '这款帽子应该是今年的新款，与去年买的渔夫帽款式上略有不同，比如帽沿较窄，很喜欢。是春天的颜色。建议商家在产品说明里把产品的特征描述详细些。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/04/02', 'goods_comment_comment': '不错 老婆很满意的好看的帽子。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/04/02', 'goods_comment_comment': '帽子收到了，戴上挺好看的，黑色比较百搭，很喜欢。'}, {'goods_comment_star': 3, 'goods_comment_time': '2019/04/02', 'goods_comment_comment': '实话实说有点失望😞做工真的是糙了呀&hellip;&hellip;好看呢是好看的'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/04/01', 'goods_comment_comment': '啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊'}]",https://www.adidas.com.cn/item/EC5776?locale=zh_CN
BUCKET HAT AC 渔夫帽,EC5775,¥249,0,冷感黄/白,"['OSFW', 'OSFM']","[' 熟悉的造型，新意的呈现。这款渔夫帽，设计简约，采用斜纹水洗棉布打造，力求呈现经历风霜的做旧质感。正面缀大号三叶草徽标，背面配小号三条纹织带。 ', '棉', '撞色三叶草徽标']","['https://img.adidas.com.cn/resources/2019/3/7/15519553040404149_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553059009438_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553177505670_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553101859395_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553077542092_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553150371515_2000X2000.jpg']",中性  ORIGINALS,3,women,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/04/03', 'goods_comment_comment': '这款帽子应该是今年的新款，与去年买的渔夫帽款式上略有不同，比如帽沿较窄，很喜欢。是春天的颜色。建议商家在产品说明里把产品的特征描述详细些。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/04/02', 'goods_comment_comment': '不错 老婆很满意的好看的帽子。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/04/02', 'goods_comment_comment': '帽子收到了，戴上挺好看的，黑色比较百搭，很喜欢。'}, {'goods_comment_star': 3, 'goods_comment_time': '2019/04/02', 'goods_comment_comment': '实话实说有点失望😞做工真的是糙了呀&hellip;&hellip;好看呢是好看的'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/04/01', 'goods_comment_comment': '啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊'}]",https://www.adidas.com.cn/item/EC5775?locale=zh_CN
